date,year,week,ili_rate,region_name,month,quarter,day_of_year,is_winter,is_flu_season,ili_rate_lag_1,ili_rate_lag_2,ili_rate_lag_4,ili_rate_rolling_mean_2,ili_rate_rolling_std_2,ili_rate_rolling_min_2,ili_rate_rolling_max_2,ili_rate_rolling_mean_4,ili_rate_rolling_std_4,ili_rate_rolling_min_4,ili_rate_rolling_max_4,ili_rate_rolling_mean_8,ili_rate_rolling_std_8,ili_rate_rolling_min_8,ili_rate_rolling_max_8,month_sin,month_cos,week_sin,week_cos,season_winter,season_spring,season_summer,season_fall,year_normalized,ili_rate_diff_1,ili_rate_diff_2,ili_rate_momentum,state_California,state_Florida,state_Illinois,state_Massachusetts,state_New Jersey,state_New York,state_Texas,state_Washington
2022-08-22,2022,34,0.852806,Washington,8,3,234,0,0,0.909929,0.891518,1.0095,0.9007235,0.013018542948625207,0.891518,0.909929,0.93894275,0.05197377297176792,0.891518,1.0095,1.147373875,0.278657639171639,0.891518,1.66066,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,0,0,1,0,0.5714285714285714,-0.057123000000000035,-0.03871200000000008,-0.0861367500000001,False,False,False,False,False,False,False,True
2022-08-29,2022,35,0.799954,Washington,8,3,241,0,0,0.852806,0.909929,0.944824,0.8813675,0.04039206066178376,0.852806,0.909929,0.89976925,0.03832658344092542,0.852806,0.944824,1.0463921250000001,0.2018767782870745,0.852806,1.41866,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0,0,1,0,0.5714285714285714,-0.0528519999999999,-0.10997499999999993,-0.09981524999999991,False,False,False,False,False,False,False,True
2022-09-05,2022,36,1.03862,Washington,9,3,248,0,0,0.799954,0.852806,0.891518,0.82638,0.03737200759934179,0.799954,0.852806,0.86355175,0.04862477216660477,0.799954,0.909929,0.969053875,0.15098645855694717,0.799954,1.28013,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,0,0,0,1,0.5714285714285714,0.23866600000000004,0.18581400000000015,0.17506825000000015,False,False,False,False,False,False,False,True
2022-09-12,2022,37,1.22778,Washington,9,3,255,0,0,1.03862,0.799954,0.909929,0.9192870000000001,0.16876234703868395,0.799954,1.03862,0.90032725,0.10255102278502258,0.799954,1.03862,0.938865125,0.09285824823967012,0.799954,1.06377,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,0,0,0,1,0.5714285714285714,0.18916,0.42782600000000004,0.32745275000000007,False,False,False,False,False,False,False,True
2022-09-19,2022,38,1.40313,Washington,9,3,262,0,0,1.22778,1.03862,0.852806,1.1332,0.1337563187292659,1.03862,1.22778,0.97979,0.1944444497810901,0.799954,1.22778,0.9593663750000001,0.1335593752648618,0.799954,1.22778,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,1,0.5714285714285714,0.1753499999999999,0.3645099999999999,0.42333999999999994,False,False,False,False,False,False,False,True
2022-09-26,2022,39,1.21702,Washington,9,3,269,0,0,1.40313,1.22778,0.799954,1.315455,0.12399117408108003,1.22778,1.40313,1.1173710000000001,0.2587171075724811,0.799954,1.40313,1.008570125,0.20698911270643502,0.799954,1.40313,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,1,0.5714285714285714,-0.18611,-0.010760000000000103,0.09964899999999988,False,False,False,False,False,False,False,True
2022-10-03,2022,40,1.05319,Washington,10,4,276,0,1,1.21702,1.40313,1.03862,1.3100749999999999,0.1315996430466462,1.21702,1.40313,1.2216375000000002,0.14887800875774335,1.03862,1.40313,1.042594625,0.21713652669822425,0.799954,1.40313,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,0,0,0,1,0.5714285714285714,-0.16382999999999992,-0.3499399999999999,-0.16844750000000008,False,False,False,False,False,False,False,True
2022-10-10,2022,41,1.17641,Washington,10,4,283,0,1,1.05319,1.21702,1.22778,1.135105,0.11584530396181324,1.05319,1.21702,1.2252800000000001,0.14296860750996132,1.05319,1.40313,1.062803625,0.2084153766221884,0.799954,1.40313,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,0,0,0,1,0.5714285714285714,0.12321999999999989,-0.040610000000000035,-0.04887000000000019,False,False,False,False,False,False,False,True
2022-10-17,2022,42,1.67822,Washington,10,4,290,0,1,1.17641,1.05319,1.40313,1.1148,0.0871296975778346,1.05319,1.17641,1.2124375,0.14496249615562887,1.05319,1.40313,1.09611375,0.20167797051580064,0.799954,1.40313,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557,0,0,0,1,0.5714285714285714,0.5018100000000001,0.62503,0.4657825,False,False,False,False,False,False,False,True
2022-10-24,2022,43,2.05054,Washington,10,4,297,0,1,1.67822,1.17641,1.21702,1.4273150000000001,0.35483325386722814,1.17641,1.67822,1.28121,0.27368683843644614,1.05319,1.67822,1.1992905,0.26164411972156376,0.799954,1.67822,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,0,0,0,1,0.5714285714285714,0.37231999999999976,0.8741299999999999,0.7693299999999998,False,False,False,False,False,False,False,True
2022-10-31,2022,44,2.89621,Washington,10,4,304,0,1,2.05054,1.67822,1.05319,1.8643800000000001,0.26326999677138374,1.67822,2.05054,1.48959,0.46143719392062144,1.05319,2.05054,1.35561375,0.34823307481947896,1.03862,2.05054,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,0,1,0.5714285714285714,0.8456700000000001,1.21799,1.40662,False,False,False,False,False,False,False,True
2022-11-07,2022,45,4.65073,Washington,11,4,311,0,1,2.89621,2.05054,1.17641,2.473375,0.5979789916460312,2.05054,2.89621,1.950345,0.7251958439162052,1.17641,2.89621,1.5878125,0.6199637792127283,1.05319,2.89621,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407953,0,0,0,1,0.5714285714285714,1.7545200000000003,2.6001900000000004,2.7003850000000003,False,False,False,False,False,False,False,True
2022-11-14,2022,46,7.4949,Washington,11,4,318,0,1,4.65073,2.89621,1.67822,3.7734700000000005,1.2406329897274233,2.89621,4.65073,2.818925,1.3232669086393734,1.67822,4.65073,2.01568125,1.2234466819889032,1.05319,4.65073,-0.5000000000000004,0.8660254037844384,-0.6631226582407956,0.7485107481711007,0,0,0,1,0.5714285714285714,2.84417,4.59869,4.675975,False,False,False,False,False,False,False,True
2022-11-21,2022,47,12.9332,Washington,11,4,325,0,1,7.4949,4.65073,2.05054,6.072815,2.011131893847344,4.65073,7.4949,4.273095,2.405424334187215,2.05054,7.4949,2.7771525,2.251528491794918,1.05319,7.4949,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,0,1,0.5714285714285714,5.438299999999999,8.28247,8.660105,False,False,False,False,False,False,False,True
2022-11-28,2022,48,11.7328,Washington,11,4,332,0,1,12.9332,7.4949,2.89621,10.21405,3.845458808126801,7.4949,12.9332,6.99376,4.389677072276123,2.89621,12.9332,4.241675,4.1237698083567045,1.05319,12.9332,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,1,0.5714285714285714,-1.2004000000000001,4.237899999999999,4.739039999999999,False,False,False,False,False,False,False,True
2022-12-05,2022,49,10.6642,Washington,12,4,339,1,1,11.7328,12.9332,4.65073,12.332999999999998,0.8488109801363309,11.7328,12.9332,9.2029075,3.8277516380888232,4.65073,12.9332,5.5766262499999995,4.640383304327772,1.17641,12.9332,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1,0,0,0,0.5714285714285714,-1.0686,-2.269,1.461292499999999,False,False,False,False,False,False,False,True
2022-12-12,2022,50,9.03203,Washington,12,4,346,1,1,10.6642,11.7328,7.4949,11.1985,0.7556143063759417,10.6642,11.7328,10.706274999999998,2.3329272190033423,7.4949,12.9332,6.7626,4.5669829710808925,1.67822,12.9332,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,1,0,0,0,0.5714285714285714,-1.6321699999999986,-2.7007699999999986,-1.6742449999999973,False,False,False,False,False,False,False,True
2022-12-19,2022,51,7.24828,Washington,12,4,353,1,1,9.03203,10.6642,12.9332,9.848115,1.1541184750492444,9.03203,10.6642,11.0905575,1.6560115737996324,9.03203,12.9332,7.681826249999999,4.115144704242532,2.05054,12.9332,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,1,0,0,0,0.5714285714285714,-1.7837500000000004,-3.415919999999999,-3.842277499999999,False,False,False,False,False,False,False,True
2022-12-26,2022,52,4.7523,Washington,12,4,360,1,1,7.24828,9.03203,11.7328,8.140155,1.2613017209415023,7.24828,9.03203,9.6693275,1.959192788733411,7.24828,11.7328,8.33154375,3.4566793818218797,2.89621,12.9332,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,1,0,0,0,0.5714285714285714,-2.4959800000000003,-4.279730000000001,-4.9170275,False,False,False,False,False,False,False,True
2023-01-02,2023,1,2.96109,Washington,1,1,2,1,1,4.7523,7.24828,10.6642,6.00029,1.7649243837059965,4.7523,7.24828,7.924202500000001,2.5332919798340785,4.7523,10.6642,8.563555000000001,3.081695394421712,4.65073,12.9332,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0.7142857142857143,-1.79121,-4.287190000000001,-4.963112500000001,False,False,False,False,False,False,False,True
2023-01-09,2023,2,1.85538,Washington,1,1,9,1,1,2.96109,4.7523,9.03203,3.856695,1.2665767375291506,2.96109,4.7523,5.998425,2.679746768813551,2.96109,9.03203,8.35235,3.426753559595436,2.96109,12.9332,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0.7142857142857143,-1.10571,-2.8969199999999997,-4.143045,False,False,False,False,False,False,False,True
2023-01-16,2023,3,1.48388,Washington,1,1,16,1,1,1.85538,2.96109,7.24828,2.408235,0.7818550390257665,1.85538,2.96109,4.2042625000000005,2.3543657677652794,1.85538,7.24828,7.64741,4.135186213754897,1.85538,12.9332,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,0,0,0,0.7142857142857143,-0.37149999999999994,-1.47721,-2.7203825000000004,False,False,False,False,False,False,False,True
2023-01-23,2023,4,1.44114,Washington,1,1,23,1,1,1.48388,1.85538,4.7523,1.6696300000000002,0.26269016921076677,1.48388,1.85538,2.7631625,1.4670237525087955,1.48388,4.7523,6.216245,4.024248203719901,1.48388,11.7328,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,0,0,0,0.7142857142857143,-0.04274,-0.41423999999999994,-1.3220224999999999,False,False,False,False,False,False,False,True
2023-01-30,2023,5,1.40135,Washington,1,1,30,1,1,1.44114,1.48388,2.96109,1.46251,0.03022174382759586,1.44114,1.48388,1.9353725000000002,0.7086622212485892,1.44114,2.96109,4.929787500000001,3.63497849737303,1.44114,10.6642,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,1,0,0,0,0.7142857142857143,-0.03978999999999999,-0.08252999999999999,-0.5340225000000001,False,False,False,False,False,False,False,True
